peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL,Neighborhood,Support: Phone Number,Support: Email,Ownership,Gross SQ M,Gross SQ FT,Colocation SQ M,Colocation SQ FT,Building Type,Floor Type,Floor Load Capacity,Flood Plain Info,Seismic Design Category,Fire Suppression,Power and Cooling Density,Utility Feeders,UPS Configuration,UPS Redundancy,Standby Power Configuration,Standby Power Redundancy,Cooling Configuration,Cooling Redundancy,Security (Physical),Security (Human),Security (Electronic),Security (Electronic),Security (Electronic),Security (Electronic),Security (Electronic),Security (Electronic),Security (Electronic),Products and Services (Colocation ),Products and Services (Colocation ),Products and Services (Colocation ),Products and Services (Colocation ),Products and Services (Colocation ),Products and Services (Colocation ),Products and Services (Colocation ),Products and Services (Colocation ),Products and Services (Colocation ),Products and Services (Interconnection),Products and Services (Interconnection),Products and Services (Interconnection),Products and Services (Interconnection),Products and Services (Interconnection),Products and Services (Interconnection),Products and Services (Interconnection),Products and Services (Services),Products and Services (Services),Products and Services (Services),Products and Services (Services),Products and Services (Packaged Solutions),Products and Services (Packaged Solutions),,Certifications,Certifications,Certifications,Certifications,Certifications,Certifications,Certifications,Green By Design
,,,,,,,CU3,18155 Technology Drive,Building C,,,Culpeper,22701,VA,USA,,,,,,,,,,1.866.314.1558,colo@equinix.com,Owned,"8,610","92,681","3,673","39,535","1-story, steel-framed building with precast concrete panel",Raised,250 psf (11.97 kN/m2),,,Non-aspirated (duct/ceiling mount) / Double-interlocked pre-action (dry pipe),4.0 - 6.0 kVA per cabinet,1,Distributed Redundant,N+1,"7 x 2,500 kW Diesel Generators",N+1,"Air-cooled Chillers, CRAHs",N+1,"Anti-ram fencing and 10 ft. earthen berms surround the entire campus. Campus has 150 ft. building set-backs. Each data center on the campus is a secure bunker constructed to provide microwave and RF shielding.",24x7 Onsite Armed Security Officers,Proximity Access Card,Biometric Access Control,Multilevel access control,Intrusion detection,CCTV surveillance with 90 day video retention,,,"Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, Antenna",Private Cage,Secure Cabinet,AC Power Circuits,DC Power Circuits,Antenna,,,,Cross Connects,Campus Cross Connect,,,,,,Smart Hands,,,,Performance Hub,Data Hub,,,,,,,,,
,,,,,,,CU4,18155 Technology Drive,Building D,,,Culpeper,22701,VA,USA,,,,,,,,,,1.866.314.1558,colo@equinix.com,Owned,"10,904","117,374","2,632","28,333","1-story, steel-framed building with precast concrete panel",Raised,250 psf (11.97 kN/m2),,,Non-aspirated (duct/ceiling mount) / Double-interlocked pre-action (dry pipe),4.0 - 6.0 kVA per cabinet,1,Distributed Redundant,N+1,"11 x 2,500 kW Diesel Generators",N+1,"Air-cooled Chillers, CRAHs",N+1,"Anti-ram fencing and 10 ft. earthen berms surround the entire campus. Campus has 150 ft. building set-backs. Each data center on the campus is a secure bunker constructed to provide microwave and RF shielding.",24x7 Onsite Armed Security Officers,Proximity Access Card,Biometric Access Control,Multilevel access control,Intrusion detection,CCTV surveillance with 90 day video retention,,,"Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, Antenna",Private Cage,Secure Cabinet,AC Power Circuits,DC Power Circuits,Antenna,,,,Cross Connects,Campus Cross Connect,,,,,,Smart Hands,,,,Performance Hub,Data Hub,,,,,,,,,
,,,,,,,DA1,1950 North Stemmons Freeway,Suite 1034,,,Dallas,75207,TX,USA,,,,,,,,,,"1.866.378.4649, 1.408.451.5200",support@equinix.com,Leased,"5,720","61,573","2,820","30,355","7-story, Telco hotel,  steel concrete structure",Slab,100 psf (4.79 kN/m2),N/A,0,"Double-Interlocked, pre-action (dry pipe)",2.4 - 3.0 kVA per cabinet,,Distributed Redundant,N+1,"3 x 1,500 kW Diesel Generators",N+1,Electric air-cooled screw compressor chillers and air handling units,N+1,Man Trap Entry,24x7 Onsite Security Officers,Biometric Readers,Fiber Vault,CCTV and Recorders,Motion Detection,,,,"Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, Antenna",Private Cage,Secure Cabinet,AC Power Circuits,DC Power Circuits,Antenna,,,,Cloud Exchange,Internet Exchange,Metro Connect,Cross Connects,Equinix Management Access,Campus Cross Connect,Extended Metro Connect,IBX SmartView,,,,Performance Hub,Data Hub,,SSAE16 SOC-1 Type II,SOC-2 Type II,ISO 27001,,,,,Granular temperature controls
,,,,,,,DA10,1232 Alma Road,,,,Richardson,75081,TX,USA,,,,,,,,,,1.866.314.1558,colosupport@equinix.com,Leased,"1,194","12,853","1,194","12,853","1-story, tilt-up concrete panels over steel",Raised,250 psf (11.97 kN/m2),Zone X (unshaded) - IBX elevation above the 500-year Base Flood Elevation,,Non-aspirated (duct/ceiling mount) / Double-interlocked pre-action (dry pipe),3.0 - 5.0 kVA per cabinet,2,Isolated Redundant,N+1,"2 x 2,000 kW Diesel Generators",N+1,"Water cooled chillers, CRAHs",N+1,Perimeter Fence. Authorized vehicles only. Physical security monitoring and centralized control with the latest systems available. Valid ID and access authority required.,24x7 Onsite Security Officers,Proximity Access Card,CCTV surveillance with 30 day video retention,,,,,,"Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits",Private Cage,Secure Cabinet,AC Power Circuits,DC Power Circuits,,,,,Cross Connects,,,,,,,Migration Planning,,,,Data Hub,,,,,,,,,,
,,,,,,,DA2,1950 North Stemmons Freeway,Suite 2027,,,Dallas,75207,TX,USA,,,,,,,,,,"1.866.378.4649, 1.408.451.5200",support@equinix.com,Leased,"3,119","33,564","2,280","24,542","7-story, Telco hotel,  steel concrete structure",Raised,100 psf (4.79 kN/m2),N/A,0,"Double-Interlocked, pre-action (dry pipe)",2.4 - 4.0 kVA per cabinet,,Block Redundant,N+1,"3 x 2,500 kW Diesel Generators",N+1,Air-cooled Chillers and CRAH Units,N+1,Man Trap Entry,24x7 Onsite Security Officers,Biometric Readers,Fiber Vault,CCTV and Recorders,Motion Detection,,,,"Private Cage, Secure Cabinet, AC Power Circuits, Antenna",Private Cage,secure Cabinet,AC Power Circuits,Antenna,,,,,Cloud Exchange,Internet Exchange,Metro Connect,Cross Connects,Equinix Management Access,Campus Cross Connect,Extended Metro Connect,Smart Hands,,,,Performance Hub,Data Hub,,SSAE16 SOC-1 Type II,SOC-2 Type II,ISO 27001,,,,,LEED Silver
,,,,,,,DA3,1950 North Stemmons Freeway,Suites 1039A & 2048,,,Dallas,75207,TX,USA,,,,,,,,,,"1.866.378.4649, 1.408.451.5200",support@equinix.com,Leased,"4,714","50,738","2,403","25,869","7-story, Telco hotel,  steel concrete structure",Raised,100 psf (4.79 kN/m2),Zone X,B,"Double-Interlocked, pre-action (dry pipe)",2.4 - 5.0 kVA per cabinet,4,Block Redundant,N+1,"2 x 2,000 kW and 2 x 2,500 kW Diesel Generators",N+1 (or better depending on suite),Chilled Water System,N+1,Man Trap Entry,24x7 Onsite Security Officers,Biometric Readers,Fiber Vault,CCTV and Recorders,Motion Detection,,,,"Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna",Private Cage,Secure Cabinet,AC Power Circuits,DC Power Circuits,IBXflex Office and Storage,Antenna,,,Cloud Exchange,Internet Exchange,Metro Connect,Cross Connects,Equinix Management Access,Campus Cross Connect,Extended Metro Connect,Smart Hands,,,,Performance Hub,Data Hub,,SSAE16 SOC-1 Type II,SOC-2 Type II,ISO 27001,,,,,LEED Gold
,,,,,,,DA4,2323 Bryan Street,Suite 1400,,,Dallas,75201,TX,USA,,,,,,,,,,"1.866.378.4649, 1.408.451.5200",support@equinix.com,Leased,"1,595","17,164","1,164","12,533","24-story stand alone concrete/steel building, concrete face",Raised,125 psf (5.99 kN/m2),Zone X,1,"Double-Interlocked, pre-action (dry pipe)",2.4 - 3.0 kVA per cabinet,,Parallel Redundant,N+1,"1 x 1,500 kW Diesel Generator",N,Evaporative Cooling Refrigeration System,N+1,Man Trap Entry,"8:00am to 5:00pm Onsite Security Officers,  remotely managed via the Equinix Operations Center after hours",PIN + Card Readers,CCTV and Recorders,Motion Detection,,,,,"Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, Antenna",Private Cage,Secure Cabinet,AC Power Circuits,DC Power Circuits,Antenna,,,,Cloud Exchange,Internet Exchange,Metro Connect,Cross Connects,Extended Metro Connect,,,Smart Hands,,,,Performance Hub,Data Hub,,SSAE16 SOC-1 Type II,SOC-2 Type II,ISO 27001,,,,,Renewable energy - wind
,,,,,,,DA6,1950 North Stemmons Freeway,Suites 2049 & 3050,,,Dallas,75207,TX,USA,,,,,,,,,,"1.866.378.4649, 1.408.451.5200",support@equinix.com,Leased,"13,108","141,096","7,710","82,985","7-story, Telco hotel,  steel concrete structure",Raised,100 psf (4.79 kN/m2),Zone X,B,"Double-Interlocked, pre-action (VESDA) on colocation floor and electrical equipment rooms",2.4 - 4.0 kVA per cabinet,,Block Redundant,N+1,"3 x 2,500 kW Diesel Generators",N+1,Air-cooled Chillers and CRAH Units,N+1,Man Trap Entry,24x7 Onsite Security Officers,Card Readers,Biometric Readers,Fiber Vault,CCTV and Recorders,Motion Detection,,,"Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna",Private Cage,Secure Cabinet,AC Power Circuits,DC Power Circuits,IBXflex Office and Storage,Antenna,,,Cloud Exchange,Internet Exchange,Metro Connect,Cross Connects,Equinix Management Access,Campus Cross Connect,Extended Metro Connect,IBX SmartView,,,,Performance Hub,Data Hub,,SSAE16 SOC-1 Type II,SOC-2 Type II,ISO 27001,,,,,LEED Gold
,,,,,,,DA7,6653 Pinecrest Drive,,,,Plano,75024,TX,USA,,,,,,,,,,"1.866.378.4649, 1.408.451.5200",support@equinix.com,Leased,"5,118","55,201","3,522","37,913","1-story tilt up concrete panel walls, steel braced frames, concrete roof deck and steel roof framing",Raised,150 psf (7.18 kN/m2),NA,,"Double-interlocked, pre-action (dry pipe), VESDA",5.0 - 10.0 kVA per cabinet,2,Block Redundant,N+1,"5 x 2,500 kW Diesel Generators",N+1,High-efficiency chilled water cooling system with water-side economization and CRAH Units,N+1,Man Trap Entry,24x7 Onsite Security Officers,Biometric Readers,Fiber Vault,CCTV and Recorders,Motion Detection,,,,"AC Power Circuits, Antenna, Private Cage with 20+ Cabinets and 100+ kVA Draw Cap",AC Power Circuits,Antenna,Private Cage with 20+ Cabinets and 100+ kVA Draw Cap,,,,,,Cloud Exchange,Internet Exchange,Metro Connect,Cross Connects,Extended Cross Connect,Extended Metro Connect,,Smart Hands,,,,Performance Hub,Data Hub,,**,,,,,,,Hot aisle containment
,,,,,,,DA9,2222 East Grauwyler Road,,,,Irving,75061,TX,USA,,,,,,,,,,1.866.314.1558,colosupport@equinix.com,Owned,"11,353","122,205","3,396","36,558","2-story, tilt-up concrete panels over steel",Raised,250 psf (11.97 kN/m2),Zone X (unshaded) - IBX elevation above the 500-year Base Flood Elevation,,Non-aspirated (duct/ceiling mount) / Double-interlocked pre-action (dry pipe),3.0 - 5.0 kVA per cabinet,2,Isolated Redundant,N+1,"2 x 2,000 kW Diesel Generators",N+1,"Air-cooled Chillers, CRAHs",N+1,Perimeter Fence. Authorized vehicles only. Physical security monitoring and centralized control with the latest systems available. Valid ID and access authority required.,24x7 Onsite Security Officers,Proximity Access Card,CCTV surveillance with 30 day video retention,,,,,,"Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, Antenna",Private Cage,Secure Cabinet,AC Power Circuits,DC Power Circuits,Antenna,,,,Cross Connects,,,,,,,Migration Planning,,,,Data Hub,,,,,,,,,,
,,,,,,,DB1,Unit 4027 Kingswood Road,,Citywest Business Campus,,Dublin,24,,Ireland,,,,,,,,,,353 (0)1 461 1200,info@eu. equinix.com,Leased,,,"1,035","11,136","2 Floors, Prefabricated Metal Sandwich Panel & Steel Frame",Raised,204 psf (9.8 kN/m2),,Low,VESDA High sensitivity smoke detection system.Fogtec Hi-Mist. Visual & audio fire alarms. Double knock activation,1 - 4 kW per Cabinet,1 x 5MVA,Block Redundant,N+1,"2 x 1.5 MVA Generators  3 x 2.2MVA Generators",N+1,Chilled water (Air Cooled Chillers),N+1,Non-segregated Security Access Area & Proximity Access Cards,24x7 Onsite Security Officers,Card Readers,CCTV and Recorders,Motion Detection,,,,,"Private Cage, Secure Cabinet, AC Power Circuits, IBXflex Office and Storage, Antenna",Private Cage,Secure Cabinet,AC Power Circuits,IBXflex Office and Storage,Antenna,,,,Equinix Connect,Cross Connects,,,,,,Smart Hands,Migration Planning,Equipment Sourcing,Installation,,,,ISO 27001,PCI-DSS,OHSAS 18001,ISO 9001,ISO 22301,ISO 50001,,ISO 14001
,,,,,,,DB2,"Unit 7, Kilcarbery Park",New Nangor Road,,,Dublin,22,,Ireland,,,,,,,,,,353 (0)1 461 1200,info@eu. equinix.com,Leased,,,"1,963","21,132","2 Floors, Prefabricated Metal Sandwich Panel & Steel Frame",Raised,204 psf (9.8 kN/m2),,Low,"VESDA , inergen inert gas fire suppression, High sensitivity smoke detection system. Visual & audio fire alarms, Double knock activation",2 - 9 kW per Cabinet,1 x 3.4MVA,Parallel Redundant,N+1,3 x 2 MVA Generators,N+1,Chilled water and free-cooling (Air Cooled Chillers),N+1,"Man Trap Entry, Biometric with hand geometry & PIN code",8:00am to 5:00pm Onsite Security Officers,Card Readers,Biometric Readers,CCTV and Recorders,Motion Detection,,,,"Private Cage, Secure Cabinet, AC Power Circuits, IBXflex Office and Storage, Antenna",Private Cage,Secure Cabinet,AC Power Circuits,IBXflex Office and Storage,Antenna,,,,Equinix Connect,Cross Connects,,,,,,Smart Hands,Migration Planning,Equipment Sourcing,Installation,,,,ISO 27001,PCI-DSS,OHSAS 18001,ISO 9001,ISO 22301,ISO 50001,,ISO 14001
,,,,,,,DB3,Unit 2 Northwest Business Park,Ballycoolin,,,Dublin,15,,Ireland,,,,,,,,,,353 (0)1 461 1200,info@eu. equinix.com,Owned,,,"5,784","62,258","3 Floors, Architectural Formed Metal Panel & Steel Frame",Raised,204 psf (9.8 kN/m2),,Low,"VESDA , inergen inert gas fire suppression, High sensitivity smoke detection system. Visual & audio fire alarms, Double knock fire activation",2 - 9 kW per Cabinet,2 x 10MVA,2N on the Static UPS and Distributed Redundant on the Rotary DRUPS,2N on Static UPS & N+1 on DRUPS,4 x 2.2 MVA Generators 4 x 2MVA DRUPS,N+1,Chilled water and free-cooling (Water Cooled Chillers & HCT),N+1 (Chillers) N+4 (CRAHS) N+1 (HCT),"Non-segregated Security Access Area, Biometric with hand geometry & PIN code",24x7 Onsite Security Officers,Card Readers,Biometric Readers,CCTV and Recorders,Motion Detection,,,,"Private Cage, Secure Cabinet, AC Power Circuits, IBXflex Office and Storage, Antenna",Private Cage,Secure Cabinet,AC Power Circuits,IBXflex Office and Storage,Antenna,,,,Equinix Connect,Cross Connects,,,,,,Smart Hands,Migration Planning,Equipment Sourcing,Installation,,,,ISO 27001,PCI-DSS,OHSAS 18001,ISO 9001,ISO 22301,ISO 50001,,ISO 14001
,,,,,,,DB4,Unit 14 Northwest Business Park,Ballycoolin,,,Dublin,15,,Ireland,,,,,,,,,,353 (0)1 461 1200,info@eu.equinix.com,Owned,,,"4,768","51,322","2 Floors, Architectural Formed Metal Panel & Steel Frame",Raised,204 psf (9.8 kN/m2),,Low,"VESDA, Argonite inert gas fire suppression, High sensitivity smoke detection system. Visual & audio fire alarms, Double knock fire activation",2 - 9 kW per Cabinet,2 x 6MVA,Distributed Redundant,N+1,4 x 2.2 MVA Generators (MV),N+1,Chilled water and free-cooling (Air Cooled Chillers & HCT),N+1 (Chillers) N+3 (CRAHS) N+1 (HCT),"Segregated Security Access Area, Biometric with hand geometry & PIN code",24x7 Onsite Security Officers,Card Readers,Biometric Readers,CCTV and Recorders,Motion Detection,,,,"Private Cage, Secure Cabinet, AC Power Circuits, IBXflex Office and Storage, Antenna",Private Cage,Secure Cabinet,AC Power Circuits,IBXflex Office and Storage,Antenna,,,,Equinix Connect,Cross Connects,,,,,,Smart Hands,Migration Planning,Equipment Sourcing,Installation,,,,ISO 27001,PCI-DSS,OHSAS 18001,ISO 9001,ISO 22301,ISO 50001,,ISO 14001
,,,,,,,DC1,21711 Filigree Court,Suite C,,,Ashburn,20147,VA,USA,,,,,,,,,,"1.866.378.4649, 1.408.451.5200",support@equinix.com,Owned,"4,028","43,356","1,852","19,935","1-story, tilt-up concrete, steel, concrete slab on grade",Slab,250 psf (11.97 kN/m2),N/A,1,"Double-Interlocked, pre-action (dry pipe)",2.4 - 3.0 kVA per cabinet,,2N,2N,3 x 800 kW and 1 x 750 kW Diesel Generators,N+1,Air-cooled Chillers and CRAC Units,N+1,Man Trap Entry,24x7 Onsite Security Officers,Biometric Readers,Fiber Vault,CCTV and Recorders,Motion Detection,,,,"Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna",Private Cage,Secure Cabinet,AC Power Circuits,DC Power Circuits,IBXflex Office and Storage,Antenna,,,Cloud Exchange,Internet Exchange,Cross Connects,Campus Cross Connect,Equinix Management Access,,,Smart Hands,,,,Performance Hub,Data Hub,,SSAE16 SOC-1 Type II,SOC-2 Type II,ISO 27001,,,,,Granular temperature controls
,,,,,,,DC10,21551 Beaumeade Circle,,,,Ashburn,20147,VA,USA,,,,,,,,,,"1.866.378.4649, 1.408.451.5200",support@equinix.com,Leased,"14,158","152,392","7,881","84,829","1-story, steel structure, concrete recessed slab",Raised,400 psf (19.15 kN/m2),N/A,A,"Double-Interlocked, pre-action (dry pipe)",4.0 - 6.0 kVA per cabinet,,2N for Business Suites / Block Redundant for Private Cages,2N for Business Suites / N+1 for Private Cages,"10 x 2,000 kW Diesel Generators",N+1,Roof Top Units with Air Side Economizers,N+1,Man Trap Entry,24x7 Onsite Security Officers,Biometric Readers,CCTV and Recorders,Motion Detection,,,,,"AC Power Circuits, IBXflex Office and Storage, Antenna, Business Suites, Business Suites in 281 kVA increments, Private Cage with 20+ Cabinets and 100+ kVA Draw Cap",AC Power Circuits,IBXflex Office and Storage,Antenna,Business Suites,Business Suites in 281 kVA increments,Private Cage with 20+ Cabinets and 100+ kVA Draw Cap,Private Cage with 20+ Cabinets and 100+ kVA Draw Cap,,,Cloud Exchange,Internet Exchange,Cross Connects,Campus Cross Connect,,,,Smart Hands,,,,Performance Hub,Data Hub,SSAE16 SOC-1 Type II,SOC-2 Type II,ISO 27001,,,,,LEED Silver Phase 1
,,,,,,,DC11,21721 Filigree Court,,,,Ashburn,20147,VA,USA,,,,,,,,,,"1.866.378.4649, 1.408.451.5200",support@equinix.com,Owned,"20,658","222,358","7,881","84,829","2-story, steel structure with exterior concrete panels",Slab,175 psf (8.38 kN/m2),N/A,A,"Double-Interlocked, preaction (dry pipe), with nitrogen purge",4.0 - 6.0 kVA per cabinet,,Block Redundant,N+1,"10 x 2,500 kW Diesel Generators",N+1,High efficiency evaporative condensed rooftop units with airside economizer,N+1,Man Trap Entry,24x7 Onsite Security Officers,Biometric Readers,Fiber Vault,CCTV and Recorders,Motion Detection,,,,"Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna",Private Cage,Secure Cabinet,AC Power Circuits,DC Power Circuits,IBXflex Office and Storage,Antenna,,,Cloud Exchange,Internet Exchange,Cross Connects,Equinix Management Access,,,,Smart Hands,,,,Performance Hub,Data Hub,,SSAE16 SOC-1 Type II,SOC-2 Type II,ISO 27001,,,,,LEED Silver
,,,,,,,DC12,44790 Performance Circle,,,,Ashburn,20147,VA,USA,,,,,,,,,,"1.866.378.4649, 1.408.451.5200",support@equinix.com,Owned,"16,983","182,800","5,370","57,803","2-story, steel-framed building with precast concrete",Slab,250 psf (11.97 kN/m2),N/A,D,"Double-Interlocked, pre-action (dry pipe) and VESDA",5.0 - 7.0 kVA per cabinet,,Block Redundant,N+1,"4 x 3,000 kW Diesel Generators",N+1,High-efficiency indirect evaporative cooling (IDEC) units with indirect airside economizers.,N+1,Man Trap Entry,24x7 Onsite Security Officers,Biometric Readers,Fiber Vault,CCTV and Recorders,Motion Detection,,,,"Private Cage with 20+ Cabinets and 100+ kVA Draw Cap, 240V/415V AC Power Circuits, Antenna",Private Cage with 20+ Cabinets and 100+ kVA Draw Cap,240V/415V AC Power Circuits,Antenna,,,,,,Cloud Exchange,Internet Exchange,Cross Connects,Campus Cross Connect,,,,Smart Hands,,,,Data Hub,,,,,,,,,,LEED Gold (planned)
,,,,,,,DC13,21830 UUNET Way,,,,Ashburn,20147,VA,USA,,,,,,,,,,1.866.314.1558,colosupport@equinix.com,Owned,"10,065","108,336","6,968","75,000","1-story, tilt-up concrete panels over steel",Raised,250 psf (11.97 kN/m2),Zone X (unshaded) - IBX elevation above the 500-year Base Flood Elevation,,Non-aspirated (duct/ceiling mount) / Double-interlocked pre-action (dry pipe),3.0 - 5.0 kVA per cabinet,2,Isolated Redundant,N+1,"Two systems with each having 8 x 2,000 kW Diesel Generators",2 x (N+1),Air Cooled DX CRACs,N+2,Perimeter Fence. Authorized vehicles only. Physical security monitoring and centralized control with the latest systems available. Valid ID and access authority required.,24x7 Onsite Security Officers,Proximity Access Card,CCTV surveillance with 30 day video retention,,,,,,"Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, Antenna",Private Cage,Secure Cabinet,AC Power Circuits,DC Power Circuits,Antenna,,,,Cross Connects,,,,,,,Migration Planning,,,,Data Hub,,,,,,,,,,
,,,,,,,DC14,7400 Infantry Ridge Road,,,,Manassas,20109,VA,USA,,,,,,,,,,1.866.314.1558,colosupport@equinix.com,Owned,"10,199","109,781","3,952","42,536","2-story, tilt-up concrete panels over steel",Raised,250 psf (11.97 kN/m2),Zone X (unshaded) - IBX elevation above the 500-year Base Flood Elevation,,Non-aspirated (duct/ceiling mount) / Double-interlocked pre-action (dry pipe),3.0 - 5.0 kVA per cabinet,2,Distributed Redundant,N+1,"1 x 500 kW and 1 x 1,000 kW Diesel Generators",N+1,"Water cooled chillers, CRAHs",N+1,Perimeter Fence. Authorized vehicles only. Physical security monitoring and centralized control with the latest systems available. Valid ID and access authority required.,24x7 Onsite Security Officers,Proximity Access Card,CCTV surveillance with 30 day video retention,,,,,,"Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, Antenna",Private Cage,Secure Cabinet,AC Power Circuits,DC Power Circuits,Antenna,,,,Cross Connects,,,,,,,Migration Planning,,,,Data Hub,,,,,,,,,,
